inspection_id,date,school_id,has_electricity,has_drinking_water,has_functional_toilet,has_boundary_wall,has_playground,inspector_name,remarks,infrastructure_deficit_pct
INSP01671,2025-12-22,S0042,1.0,1.0,,,,Manan Mangat,Needs repair,0.0
INSP01776,2025-09-14,S0403,0.0,1.0,1.0,1.0,,Manbir Sodhi,Needs repair,25.0
INSP01733,2025-10-23,SCH0175,1.0,,0.0,1.0,1.0,Qarin Nayar,Toilets locked,25.0
INSP02204,2026-06-02,0010,0.0,1.0,1.0,0.0,1.0,Unknown Inspector,No Remarks,40.0
INSP02552,2025-04-08,SCH0140,0.0,1.0,1.0,1.0,1.0,Gaurangi Ratti,Toilets locked,20.0
INSP00219,2025-09-09,SCH0325,0.0,1.0,1.0,1.0,0.0,Zehaan Deshpande,Average,40.0
INSP00292,2025-11-25,0371,1.0,1.0,1.0,0.0,1.0,Chasmum Ganguly,No remarks,20.0
INSP02177,2025-04-26,SCH0583,1.0,1.0,,,,Jonathan Jain,Good condition,0.0
INSP00818,2025-09-16,SCH0078,1.0,0.0,1.0,1.0,0.0,Krishna Gaba,Average,40.0
INSP00602,2025-11-20,SCH0360,1.0,1.0,1.0,1.0,0.0,Umang Sagar,Average,20.0
INSP00018,2026-03-15,SCH0582,1.0,1.0,,1.0,0.0,Unnati Goel,No Remarks,25.0
INSP00171,2025-02-04,SCH0067,0.0,1.0,0.0,,0.0,Sneha Ghosh,Good condition,75.0
INSP01738,2025-10-02,S0230,1.0,1.0,1.0,,0.0,Osha Bajwa,No Remarks,25.0
INSP02283,2025-09-21,S0559,1.0,1.0,1.0,1.0,1.0,Sai Warrior,Average,0.0
INSP02803,2026-02-19,SCH0238,0.0,1.0,1.0,,,Ekaraj Sehgal,No Remarks,33.33
INSP01408,2026-10-03,SCH0274,,1.0,1.0,0.0,,Kamala Roy,Average,33.33
INSP00179,2025-12-09,SCH0577,,,1.0,1.0,1.0,Riya Kant,Good condition,0.0
INSP01337,2025-06-03,SCH0011,,1.0,1.0,0.0,0.0,Imaran Tandon,Toilets locked,50.0
INSP01815,2025-05-01,SCH0240,0.0,0.0,1.0,1.0,,Lavanya Choudhry,Average,50.0
INSP02205,2025-07-11,SCH0037,1.0,1.0,1.0,0.0,0.0,Rudra Bail,Toilets locked,40.0
INSP01412,2025-08-05,SCH0596,0.0,,1.0,,,Sai Bhasin,Average,50.0
INSP02746,2025-11-13,SCH0422,1.0,1.0,1.0,1.0,,Isaac Kalla,No Remarks,0.0
INSP01663,2026-06-03,SCH0456,0.0,1.0,1.0,0.0,,Neel Ganesh,Needs repair,50.0
INSP01227,2025-06-29,SCH0398,1.0,0.0,,1.0,1.0,Isaiah Mangat,No Remarks,25.0
INSP02025,2025-10-08,SCH0219,1.0,1.0,1.0,1.0,1.0,Bhanumati Chaudhari,No Remarks,0.0
INSP02771,2026-03-02,SCH0339,1.0,1.0,1.0,1.0,0.0,Rajata Mistry,Toilets locked,20.0
INSP02097,2025-05-05,SCH0564,,0.0,1.0,1.0,,Laksh Dugar,Good condition,33.33
INSP00135,2026-03-09,SCH0542,,,1.0,0.0,,Jackson Narasimhan,Toilets locked,50.0
INSP02846,2026-02-12,SCH0258,0.0,1.0,1.0,1.0,0.0,Ishanvi Arya,Average,40.0
INSP02987,2025-06-24,SCH0131,,1.0,1.0,0.0,1.0,Kevin Gade,Needs repair,25.0
INSP00103,2026-02-24,0022,1.0,1.0,1.0,1.0,1.0,Netra Ram,Average,0.0
INSP00415,2025-11-05,SCH0093,1.0,1.0,,1.0,1.0,Liam Sibal,Average,0.0
INSP02697,2026-02-12,SCH0122,1.0,1.0,1.0,0.0,1.0,Hritik Naidu,Toilets locked,20.0
INSP01484,2025-12-21,S0362,1.0,1.0,1.0,1.0,1.0,Hamsini Pandya,Toilets locked,0.0
INSP01188,2025-06-15,SCH0005,,,1.0,0.0,1.0,Max Shenoy,Toilets locked,33.33
INSP01730,2025-10-26,SCH0476,0.0,1.0,1.0,1.0,0.0,Unknown Inspector,Good condition,40.0
INSP02006,2025-08-02,0075,,1.0,1.0,,,Zashil Hegde,Average,0.0
INSP02154,2025-10-12,0434,1.0,0.0,1.0,1.0,,Unknown Inspector,No remarks,25.0
INSP02572,2025-04-28,SCH0556,1.0,0.0,1.0,,1.0,Girindra Tiwari,No Remarks,25.0
INSP01147,2025-09-30,SCH0535,1.0,0.0,1.0,0.0,0.0,Vritti Agarwal,No remarks,60.0
INSP00310,2026-02-20,SCH0037,1.0,,1.0,1.0,,Unknown Inspector,No Remarks,0.0
INSP02274,2025-12-19,0434,1.0,1.0,1.0,1.0,,Baghyawati Chana,Toilets locked,0.0
INSP02440,2026-09-01,SCH0458,0.0,1.0,1.0,1.0,0.0,Shivansh Trivedi,Toilets locked,40.0
INSP00193,2026-12-03,SCH0533,0.0,1.0,1.0,1.0,1.0,Shivansh Tara,No remarks,20.0
INSP00195,2025-07-12,SCH0346,1.0,1.0,1.0,1.0,0.0,Nimrat Hayer,Toilets locked,20.0
INSP00777,2025-06-18,S0058,1.0,0.0,,1.0,0.0,Oeshi Pradhan,Needs repair,50.0
INSP01678,2026-03-24,SCH0263,,,1.0,1.0,0.0,Fitan Halder,Toilets locked,33.33
INSP01236,2025-03-11,SCH0442,0.0,1.0,0.0,0.0,,Unknown Inspector,Good condition,75.0
INSP01394,2025-09-14,SCH0261,1.0,1.0,1.0,0.0,0.0,Yamini Naidu,Needs repair,40.0
INSP00045,2025-11-04,SCH0003,1.0,1.0,0.0,1.0,1.0,Nicholas Keer,No remarks,20.0
INSP01765,2025-04-28,S0167,0.0,1.0,0.0,0.0,0.0,Zinal Bhavsar,Average,80.0
INSP00946,2025-06-09,SCH0129,1.0,1.0,1.0,0.0,1.0,Isaac Khatri,No Remarks,20.0
INSP02052,2025-08-18,SCH0398,1.0,1.0,0.0,1.0,0.0,Peter Mody,No remarks,40.0
INSP00830,2025-07-20,SCH0526,1.0,0.0,,1.0,0.0,Yatin Ghose,Toilets locked,50.0
INSP02967,2025-09-16,SCH0153,,1.0,1.0,0.0,0.0,Falak Jaggi,Good condition,50.0
INSP02922,2026-02-04,SCH0194,1.0,,1.0,1.0,0.0,Isaiah Nagarajan,No Remarks,25.0
INSP01279,2025-12-13,SCH0475,1.0,1.0,0.0,1.0,,Ekani Oommen,Average,25.0
INSP02900,2025-06-28,S0138,0.0,1.0,1.0,1.0,0.0,Maya Sastry,No Remarks,40.0
INSP02808,2025-04-30,SCH0052,0.0,1.0,1.0,0.0,1.0,Vyanjana Badal,Good condition,40.0
INSP01802,2026-02-28,SCH0364,0.0,1.0,1.0,1.0,0.0,Aishani Dhillon,Needs repair,40.0
INSP00486,2025-09-06,SCH0501,,1.0,1.0,0.0,1.0,Faras Yohannan,Average,25.0
INSP02372,2026-03-13,SCH0600,1.0,0.0,1.0,1.0,0.0,Upkaar Narang,Good condition,40.0
INSP00443,2025-05-15,SCH0530,,0.0,1.0,1.0,,Gauri Deshmukh,Average,33.33
INSP01642,2025-11-26,SCH0239,1.0,1.0,1.0,,1.0,Vasudha Jayaraman,Average,0.0
INSP02598,2025-04-28,SCH0223,1.0,1.0,1.0,1.0,1.0,Pranav Master,Average,0.0
INSP01714,2025-05-07,SCH0320,0.0,1.0,1.0,1.0,1.0,Unknown Inspector,Good condition,20.0
INSP02982,2025-09-26,SCH0169,,1.0,,,1.0,Sanya Choudhry,Toilets locked,0.0
INSP00757,2025-10-22,SCH0129,0.0,,1.0,0.0,1.0,Bhanumati Sridhar,Needs repair,50.0
INSP01881,2025-04-29,SCH0593,1.0,1.0,1.0,1.0,0.0,Hemani Chander,No remarks,20.0
INSP00241,2025-11-09,SCH0360,1.0,1.0,1.0,1.0,1.0,Peter Rajagopalan,Needs repair,0.0
INSP02355,2026-01-22,SCH0211,1.0,1.0,0.0,1.0,1.0,Alexander Gokhale,No Remarks,20.0
INSP01666,2025-12-27,S0199,1.0,1.0,0.0,0.0,,Diya Saini,No Remarks,50.0
INSP02431,2026-03-16,0083,1.0,,1.0,0.0,1.0,Ikshita Dhillon,No remarks,25.0
INSP01744,2026-02-10,SCH0308,,1.0,1.0,0.0,1.0,Ekansh Bhandari,No remarks,25.0
INSP00140,2025-10-07,SCH0103,1.0,1.0,0.0,1.0,0.0,Zaitra Chandran,Good condition,40.0
INSP00347,2025-09-16,SCH0194,,1.0,0.0,,1.0,Neel Murthy,No Remarks,33.33
INSP01537,2025-10-29,0105,1.0,1.0,1.0,0.0,1.0,Chandran Gopal,No Remarks,20.0
INSP00315,2025-11-13,SCH0483,1.0,1.0,1.0,,0.0,Anvi Tara,Needs repair,25.0
INSP01743,2026-02-06,SCH0257,1.0,1.0,1.0,1.0,1.0,Unknown Inspector,No Remarks,0.0
INSP00323,2025-02-10,SCH0316,1.0,1.0,1.0,0.0,,Raksha Jain,Good condition,25.0
INSP01682,2026-01-07,SCH0302,,1.0,1.0,1.0,1.0,Vaishnavi Rau,Average,0.0
INSP01460,2025-09-05,0289,,0.0,1.0,,,Charles Bahri,Average,50.0
INSP02034,2026-12-01,SCH0386,1.0,0.0,0.0,0.0,0.0,Zarna Rau,No Remarks,80.0
INSP00257,2025-07-21,SCH0408,,1.0,,1.0,1.0,Advay Rama,Average,0.0
INSP02300,2026-01-17,SCH0566,,0.0,1.0,0.0,1.0,Balhaar Wable,Toilets locked,50.0
INSP01732,2025-11-12,SCH0529,1.0,0.0,0.0,1.0,0.0,Dalaja Lala,Needs repair,60.0
INSP02601,2026-01-03,SCH0154,1.0,1.0,1.0,,,Vrishti Dugar,Toilets locked,0.0
INSP00204,2025-09-06,SCH0590,1.0,1.0,,1.0,1.0,Jacob Mani,No remarks,0.0
INSP01785,2025-04-03,SCH0488,0.0,1.0,1.0,,0.0,Vidhi Om,Good condition,50.0
INSP00299,2025-12-14,SCH0599,0.0,1.0,,0.0,0.0,Odika Bhandari,No Remarks,75.0
INSP00052,2025-12-07,SCH0320,0.0,1.0,1.0,0.0,0.0,Daksha Kapadia,Good condition,60.0
INSP00215,2025-05-19,SCH0419,1.0,1.0,1.0,0.0,0.0,Ikbal Nagy,Needs repair,40.0
INSP00064,2026-03-03,SCH0051,,1.0,1.0,0.0,0.0,Forum Choudhary,Toilets locked,50.0
INSP02497,2026-02-23,SCH0004,1.0,1.0,1.0,1.0,0.0,Ayushman Vyas,Needs repair,20.0
INSP02801,2025-05-08,SCH0473,,,0.0,1.0,1.0,Lavanya Thaker,Needs repair,33.33
INSP01358,2025-11-12,SCH0527,1.0,0.0,1.0,0.0,0.0,Ojasvi Chad,Toilets locked,60.0
INSP00300,2025-04-13,SCH0443,0.0,1.0,1.0,0.0,1.0,Yauvani Narang,Toilets locked,40.0
INSP00433,2025-08-27,SCH0523,,1.0,1.0,1.0,1.0,Viraj Munshi,Toilets locked,0.0
INSP01101,2026-02-26,SCH0512,0.0,1.0,1.0,0.0,1.0,Abdul Dayal,Average,40.0
INSP00053,2025-04-05,SCH0112,1.0,1.0,1.0,1.0,0.0,Lipika Agarwal,Needs repair,20.0
INSP00795,2025-10-20,0458,0.0,1.0,,1.0,,Caleb Pandya,No remarks,33.33
INSP02078,2025-10-15,SCH0542,,1.0,1.0,0.0,0.0,Raghav Bakshi,Average,50.0
INSP01252,2025-10-22,SCH0450,1.0,1.0,1.0,0.0,0.0,Dev Sawhney,Average,40.0
INSP01075,2025-09-03,SCH0176,0.0,1.0,0.0,1.0,0.0,Oviya Sidhu,Average,60.0
INSP02378,2025-07-03,SCH0441,1.0,,1.0,1.0,0.0,Manthan Bora,No Remarks,25.0
INSP01588,2025-12-12,SCH0440,1.0,1.0,1.0,1.0,,Yatin Mander,Toilets locked,0.0
INSP01289,2025-10-31,SCH0546,1.0,1.0,1.0,1.0,1.0,Brijesh Natarajan,Toilets locked,0.0
INSP01675,2025-08-26,SCH0035,1.0,,1.0,1.0,,Rachana Vaidya,No remarks,0.0
INSP02133,2026-01-12,SCH0367,1.0,0.0,1.0,,0.0,Krishna Viswanathan,Toilets locked,50.0
INSP01448,2026-03-03,SCH0422,1.0,1.0,1.0,,0.0,Isaac Pall,Average,25.0
INSP02897,2025-10-14,SCH0263,1.0,1.0,0.0,0.0,0.0,Idika Muni,No remarks,60.0
INSP00071,2025-08-20,0047,1.0,,1.0,0.0,0.0,Advaith Ghosh,No remarks,50.0
INSP00643,2026-03-30,SCH0506,,1.0,,1.0,1.0,Anjali Lalla,No remarks,0.0
INSP02543,2026-03-04,SCH0164,0.0,1.0,1.0,0.0,,Quincy Ramaswamy,No remarks,50.0
INSP00945,2025-11-12,SCH0073,1.0,1.0,1.0,0.0,,Omaja Ghose,Toilets locked,25.0
INSP02852,2026-01-11,SCH0050,1.0,1.0,1.0,,0.0,Hardik Venkatesh,No Remarks,25.0
INSP02539,2025-04-21,SCH0131,1.0,,1.0,1.0,1.0,Jeet Swaminathan,No Remarks,0.0
INSP01106,2025-04-13,SCH0254,1.0,,1.0,1.0,,Unknown Inspector,No remarks,0.0
INSP01175,2025-04-22,SCH0422,0.0,,1.0,,0.0,Amaira Tara,Average,66.67
INSP02670,2025-08-10,SCH0525,0.0,,0.0,1.0,,Krish Kala,No Remarks,66.67
INSP01757,2025-04-25,SCH0354,,1.0,1.0,1.0,1.0,Siya Kashyap,No Remarks,0.0
INSP00479,2025-07-09,SCH0535,1.0,0.0,1.0,,,Eiravati Buch,Toilets locked,33.33
INSP02178,2026-03-01,S0160,1.0,1.0,0.0,,1.0,Madhav Rattan,Needs repair,25.0
INSP02429,2025-06-14,0291,1.0,1.0,0.0,1.0,0.0,Ekantika Nath,Needs repair,40.0
INSP00730,2025-10-09,SCH0305,1.0,0.0,1.0,,0.0,Eshana Dey,Needs repair,50.0
INSP01761,2025-07-18,S0564,,1.0,1.0,,,Tanveer Reddy,Average,0.0
INSP02282,2025-10-30,SCH0168,1.0,1.0,1.0,0.0,1.0,Yug Sur,Average,20.0
INSP00290,2025-12-28,S0416,,1.0,,1.0,1.0,Warjas Vala,No Remarks,0.0
INSP01092,2025-12-23,SCH0532,1.0,1.0,1.0,0.0,1.0,Balendra Warrior,Needs repair,20.0
INSP01420,2025-05-01,SCH0040,0.0,1.0,1.0,1.0,,Darsh Nori,Needs repair,25.0
INSP00451,2025-07-15,0490,1.0,1.0,0.0,,,Qushi Tella,Average,33.33
INSP02443,2026-02-23,SCH0473,1.0,,1.0,1.0,,Chavvi Pradhan,No Remarks,0.0
INSP00808,2025-02-07,SCH0493,,0.0,0.0,1.0,,Azaan Basak,No Remarks,66.67
INSP00464,2025-06-30,SCH0227,1.0,1.0,1.0,1.0,0.0,Bhavya Doshi,Average,20.0
INSP02529,2025-07-19,SCH0041,1.0,1.0,0.0,1.0,1.0,Advik Raja,Needs repair,20.0
INSP02699,2025-12-03,SCH0482,1.0,1.0,0.0,1.0,0.0,Unknown Inspector,No Remarks,40.0
INSP00568,2026-03-31,0043,1.0,,0.0,0.0,0.0,Edhitha Srivastava,Needs repair,75.0
INSP01611,2025-11-06,SCH0493,1.0,1.0,1.0,,1.0,Zehaan Virk,Needs repair,0.0
INSP00077,2025-08-18,SCH0186,0.0,,,1.0,0.0,Aachal Chandra,Good condition,66.67
INSP00332,2025-08-20,SCH0450,1.0,1.0,1.0,1.0,1.0,Fiyaz Chanda,Average,0.0
INSP00612,2026-03-17,SCH0327,1.0,1.0,1.0,0.0,,Geetika Raman,No Remarks,25.0
INSP01074,2025-10-12,S0265,,1.0,1.0,,0.0,Tanvi Wagle,Toilets locked,33.33
INSP00786,2026-02-13,SCH0313,,0.0,,1.0,1.0,Zarna Bhargava,No remarks,33.33
INSP00046,2025-11-14,S0280,1.0,,1.0,1.0,0.0,Naksh Ray,Good condition,25.0
INSP02908,2025-06-12,SCH0248,1.0,1.0,,1.0,0.0,Bhavani Gaba,Toilets locked,25.0
INSP00344,2026-01-06,SCH0451,1.0,1.0,1.0,,1.0,Ganga Korpal,Toilets locked,0.0
INSP02171,2025-11-27,S0171,1.0,1.0,0.0,0.0,0.0,Anirudh Muni,Good condition,60.0
INSP01560,2025-06-09,0554,1.0,1.0,1.0,0.0,0.0,Unknown Inspector,Needs repair,40.0
INSP00545,2025-06-02,SCH0302,0.0,,1.0,1.0,1.0,Ishanvi Wason,Needs repair,25.0
INSP01024,2025-11-08,SCH0428,1.0,1.0,1.0,1.0,1.0,Rehaan Ahluwalia,No remarks,0.0
INSP00153,2025-10-15,SCH0540,1.0,,1.0,1.0,1.0,Geetika Kulkarni,No Remarks,0.0
INSP01981,2025-05-03,SCH0499,1.0,1.0,1.0,0.0,0.0,Unknown Inspector,Toilets locked,40.0
INSP01323,2025-09-07,SCH0264,1.0,1.0,,1.0,0.0,Triya Dutta,No remarks,25.0
INSP01019,2025-06-06,SCH0303,1.0,1.0,1.0,1.0,,Vedant Hayer,No remarks,0.0
INSP02182,2026-01-29,SCH0248,1.0,,1.0,0.0,1.0,Krisha Mital,Good condition,25.0
INSP00001,2025-09-22,0087,1.0,1.0,1.0,1.0,,Ira Ranganathan,Good condition,0.0
INSP01463,2025-06-28,S0247,0.0,,0.0,1.0,1.0,Alexander Garde,Needs repair,50.0
INSP00622,2025-10-05,SCH0089,0.0,1.0,1.0,0.0,0.0,Girish Batta,Average,60.0
INSP00409,2025-04-17,SCH0069,,1.0,1.0,0.0,,Vaishnavi Sarkar,No remarks,33.33
INSP02837,2025-06-04,SCH0424,0.0,,0.0,0.0,,Gabriel Biswas,Average,100.0
INSP01967,2025-08-30,SCH0105,1.0,,1.0,0.0,0.0,Yoshita Sridhar,Toilets locked,50.0
INSP02845,2025-11-29,SCH0341,1.0,1.0,1.0,1.0,1.0,Parth Bawa,Average,0.0
INSP01622,2026-03-15,SCH0546,1.0,1.0,0.0,0.0,1.0,Chaman Dubey,No Remarks,40.0
INSP01367,2025-12-21,SCH0078,1.0,1.0,1.0,1.0,1.0,Suhani Viswanathan,Good condition,0.0
INSP00888,2025-08-21,SCH0179,0.0,,1.0,,,Niharika Subramaniam,No Remarks,50.0
INSP01845,2025-05-20,SCH0105,1.0,,1.0,1.0,,Wridesh Patil,No Remarks,0.0
INSP00033,2025-06-24,SCH0323,,1.0,1.0,1.0,1.0,Urvi Dani,No Remarks,0.0
INSP00212,2025-05-22,SCH0080,,1.0,1.0,0.0,0.0,Daksh Vora,Good condition,50.0
INSP02551,2025-12-20,SCH0186,1.0,1.0,,1.0,0.0,David Cheema,Toilets locked,25.0
INSP00015,2025-04-05,SCH0124,1.0,1.0,0.0,,1.0,Yashoda Jani,Average,25.0
INSP00094,2025-10-28,SCH0234,1.0,,1.0,0.0,1.0,Ekapad Rattan,Needs repair,25.0
INSP01256,2025-08-30,SCH0037,,1.0,1.0,1.0,1.0,Manya Mody,No remarks,0.0
INSP01398,2025-11-05,SCH0517,1.0,1.0,1.0,0.0,0.0,Wahab Patil,Toilets locked,40.0
INSP02819,2025-11-10,SCH0116,1.0,1.0,0.0,,1.0,Unknown Inspector,Good condition,25.0
INSP00355,2026-03-02,SCH0410,1.0,1.0,,1.0,0.0,Yoshita Nazareth,Average,25.0
INSP00150,2025-12-30,SCH0428,1.0,0.0,0.0,0.0,1.0,Christopher Dutt,Good condition,60.0
INSP00255,2025-05-05,SCH0540,1.0,1.0,,1.0,1.0,Jai Varughese,Average,0.0
INSP02030,2025-04-04,SCH0010,1.0,1.0,0.0,1.0,0.0,Unknown Inspector,No Remarks,40.0
INSP00599,2025-04-13,S0292,1.0,1.0,,1.0,0.0,Bakhshi Shan,No Remarks,25.0
INSP00185,2025-05-30,S0041,0.0,1.0,1.0,0.0,0.0,Osha Iyengar,No remarks,60.0
INSP00579,2025-06-07,SCH0345,0.0,1.0,,0.0,0.0,Unknown Inspector,Average,75.0
INSP01091,2025-12-09,S0447,,1.0,1.0,1.0,1.0,Unknown Inspector,No Remarks,0.0
INSP01174,2025-11-25,SCH0340,1.0,1.0,1.0,1.0,0.0,Maanav Rau,Needs repair,20.0
INSP02252,2025-04-12,SCH0476,1.0,1.0,,0.0,0.0,Anita Kannan,No Remarks,50.0
INSP00472,2025-08-26,SCH0242,1.0,1.0,1.0,0.0,1.0,Janya Lalla,Average,20.0
INSP01966,2026-03-13,0281,1.0,1.0,0.0,0.0,1.0,Vihaan Varma,Good condition,40.0
INSP01964,2025-06-21,SCH0598,,1.0,,1.0,0.0,Jeevika Pandit,Average,33.33
INSP01303,2026-03-17,SCH0359,1.0,1.0,,1.0,0.0,Vihaan Bora,Good condition,25.0
INSP02998,2026-03-20,SCH0117,1.0,1.0,,1.0,0.0,Arya Shenoy,Toilets locked,25.0
INSP00258,2025-07-06,SCH0067,0.0,1.0,,1.0,,Unnati Iyengar,Toilets locked,33.33
INSP00933,2025-07-02,SCH0176,0.0,1.0,1.0,1.0,1.0,Yashasvi Sethi,No remarks,20.0
INSP01685,2025-11-20,SCH0505,1.0,1.0,,,0.0,Ayushman Chand,Average,33.33
INSP00719,2025-12-06,SCH0533,1.0,1.0,1.0,1.0,1.0,Harinakshi Boase,No Remarks,0.0
INSP00597,2026-06-02,0014,0.0,1.0,0.0,1.0,0.0,Rohan Rau,No remarks,60.0
INSP00611,2025-09-01,S0432,1.0,1.0,1.0,1.0,1.0,Nachiket Purohit,No remarks,0.0
INSP00756,2025-10-24,SCH0489,,1.0,1.0,0.0,0.0,Suhani Baral,Toilets locked,50.0
INSP02326,2025-08-14,SCH0196,,1.0,1.0,1.0,1.0,Wazir Varty,Good condition,0.0
INSP01507,2025-09-28,SCH0177,0.0,,1.0,0.0,1.0,Chanchal Parmer,No Remarks,50.0
INSP02488,2025-12-13,SCH0209,1.0,,1.0,1.0,0.0,Urvi Datta,Toilets locked,25.0
INSP01887,2025-07-16,0019,1.0,,1.0,1.0,,Balvan Vohra,No Remarks,0.0
INSP01339,2025-04-11,SCH0428,0.0,1.0,0.0,1.0,,Unknown Inspector,Good condition,50.0
INSP02612,2025-09-08,SCH0400,,,1.0,0.0,0.0,Wahab Thakkar,No remarks,66.67
INSP00175,2025-04-18,SCH0427,1.0,1.0,,0.0,,Abdul Ratti,Average,33.33
INSP01392,2025-07-10,S0428,1.0,,1.0,1.0,1.0,Yug Pradhan,Needs repair,0.0
INSP02249,2026-03-17,SCH0026,1.0,1.0,1.0,1.0,,Tanmayi Goel,No Remarks,0.0
INSP00121,2025-09-08,SCH0480,1.0,,1.0,,1.0,Ekanta Ramesh,No remarks,0.0
INSP02893,2026-09-01,SCH0257,1.0,1.0,1.0,1.0,1.0,Maya Cheema,Toilets locked,0.0
INSP00529,2026-03-25,SCH0080,1.0,,1.0,,1.0,Jacob Buch,Needs repair,0.0
INSP02568,2026-01-24,SCH0356,1.0,1.0,0.0,1.0,1.0,Mahika Swaminathan,No Remarks,20.0
INSP00904,2026-02-13,S0380,,,1.0,,0.0,Sai Vasa,Toilets locked,50.0
INSP02916,2026-03-19,SCH0327,1.0,1.0,0.0,0.0,1.0,Aditya Korpal,Needs repair,40.0
INSP00440,2025-10-15,SCH0026,1.0,1.0,1.0,1.0,1.0,Ronith Desai,Toilets locked,0.0
INSP01379,2025-06-04,SCH0026,1.0,,1.0,1.0,,Samar Sandal,Average,0.0
INSP02773,2025-08-27,SCH0124,1.0,1.0,1.0,1.0,1.0,Pratyush Parsa,Good condition,0.0
INSP02145,2025-07-12,SCH0522,1.0,,0.0,1.0,,Hemal Contractor,Good condition,33.33
INSP00189,2025-12-10,SCH0311,1.0,1.0,1.0,1.0,,Ishanvi Mangal,Average,0.0
INSP01951,2025-08-13,SCH0202,1.0,1.0,0.0,1.0,1.0,Unknown Inspector,Average,20.0
INSP01265,2026-12-01,SCH0122,1.0,1.0,1.0,,0.0,Maanas Murty,Toilets locked,25.0
INSP02351,2025-04-20,SCH0204,1.0,0.0,1.0,0.0,,Leena Wason,No Remarks,50.0
INSP01115,2025-04-09,SCH0269,,0.0,,1.0,,Darsh Krishna,No remarks,50.0
INSP00271,2026-01-12,SCH0240,1.0,,1.0,1.0,0.0,Timothy Ghosh,Toilets locked,25.0
INSP00252,2025-04-10,SCH0111,1.0,1.0,1.0,1.0,0.0,Mohini Soni,No Remarks,20.0
INSP00369,2026-03-27,0347,0.0,1.0,,1.0,1.0,Geetika Mishra,Toilets locked,25.0
INSP00388,2025-06-27,SCH0573,1.0,1.0,,,1.0,Ishaan Chandran,Average,0.0
INSP01422,2026-09-01,SCH0024,1.0,1.0,,1.0,0.0,George Rai,Good condition,25.0
INSP00810,2025-10-25,SCH0511,,1.0,1.0,0.0,0.0,Ira Lall,No Remarks,50.0
INSP01953,2025-06-06,SCH0033,0.0,,,,1.0,Ria Ray,No remarks,50.0
INSP02483,2025-06-27,SCH0237,,,1.0,1.0,1.0,Bhanumati Balay,Needs repair,0.0
INSP00247,2025-12-19,SCH0255,0.0,1.0,0.0,1.0,0.0,Unknown Inspector,Needs repair,60.0
INSP01238,2025-05-20,SCH0211,1.0,1.0,,1.0,1.0,Finn Oommen,No remarks,0.0
INSP02432,2025-08-05,S0406,1.0,,1.0,,1.0,Lekha Khanna,Average,0.0
INSP01150,2025-10-09,SCH0432,,1.0,1.0,0.0,0.0,Abhimanyu Gopal,Needs repair,50.0
INSP02168,2025-03-09,S0592,,1.0,,1.0,,Isha Nazareth,No Remarks,0.0
INSP00977,2025-08-28,0305,1.0,1.0,1.0,,0.0,Samar Modi,Good condition,25.0
INSP02500,2025-09-14,SCH0294,1.0,1.0,1.0,1.0,,Unknown Inspector,Needs repair,0.0
